title,access,price,link
Laptop Apple MacBook Air 13 M1/8GB/512/Mac OS Silver (MGNA3ZE/A),Dostepny,6227.4,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-512-mac-os-silver-mgna3ze-a-7681776/
Laptop Apple MacBook Air 13 M1/8GB/512/Mac OS Gold (MGNE3ZE/A),Dostepny,6097.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-512-mac-os-gold-mgne3ze-a-5945380/
Laptop Apple MacBook Air 13 M1 (MGND3ZE/A),Dostepny,5303.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgnd3ze-a-5945383/
Laptop Apple MacBook Air 13 M1 (MGN93ZE/A),Dostepny,7189.99,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgn93ze-a-5945384/
Laptop Apple MacBook Air 13 M1 (MGN63ZE/A),Dostepny,5099.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgn63ze-a-5945385/
Laptop Apple MacBook Air 13 M1/8GB/512GB/Mac OS Space Grey (MGN73ZE/A),Dostepny,5949.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-512gb-mac-os-space-grey-mgn73ze-a-5945382/
Laptop Apple MacBook Air 13 M1/8GB/1TB/Mac OS Gold (MGNE3ZE/A/D1),Dostepny,8199.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-1tb-mac-os-gold-mgne3ze-a-d1-7701620/
Laptop Apple MacBook Air 13 M1/8GB/1TB/Mac OS Silver (MGNA3ZE/A/D1),Dostepny,8199.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-1tb-mac-os-silver-mgna3ze-a-d1-7701615/
Laptop Apple MacBook Air 13 M1/8GB/1TB/Mac OS Space Grey (MGN73ZE/A/D1),Dostepny,8199.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-1tb-mac-os-space-grey-mgn73ze-a-d1-7701610/
Laptop Apple MacBook Air 13 M1/8GB/2TB/Mac OS Space Grey (MGN73ZE/A/D2),Dostepny,9999.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-2tb-mac-os-space-grey-mgn73ze-a-d2-7701611/
Laptop Apple MacBook Air 13 M1/8GB/2TB/Mac OS Silver (MGNA3ZE/A/D2),Dostepny,10999.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-2tb-mac-os-silver-mgna3ze-a-d2-7701616/
Laptop Apple MacBook Air 13 M1/8GB/2TB/Mac OS Gold (MGNE3ZE/A/D2),Dostepny,10999.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-8gb-2tb-mac-os-gold-mgne3ze-a-d2-7701621/
Laptop MSI GL75 9SC-007XPL 8 GB RAM/ 1 TB M.2 PCIe/ Windows 10 Home,Dostepny,4999.0,https://www.morele.net/laptop-msi-gl75-9sc-007xpl-8-gb-ram-1-tb-m-2-pcie-windows-10-home-6044315/
Laptop Apple MacBook Air 13 M1 (MGN63ZE/A/D1) + 512 GB SSD,Dostepny,5948.99,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgn63ze-a-d1-512-gb-ssd-7701595/
Laptop Apple MacBook Air 13 M1 (MGND3ZE/A/D1) + 512 GB SSD,Dostepny,6999.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgnd3ze-a-d1-512-gb-ssd-7701605/
Laptop Apple MacBook Air 13 M1 (MGN93ZE/A/D1) + 512 GB SSD,Dostepny,6999.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgn93ze-a-d1-512-gb-ssd-7701600/
Laptop HP Laptop 250 G8 (34M96ES) / 8 GB RAM / 1 TB SSD PCIe / Windows 10 Pro,Dostepny,3699.0,https://www.morele.net/laptop-hp-laptop-250-g8-34m96es-8-gb-ram-1-tb-ssd-pcie-windows-10-pro-9130138/
Laptop Dell Latitude 5520 (N002L552015EMEA) 8 GB RAM/ 1 TB M.2 PCIe/ Windows 10 Pro,Dostepny,5709.0,https://www.morele.net/laptop-dell-latitude-5520-n002l552015emea-8-gb-ram-1-tb-m-2-pcie-windows-10-pro-7281840/
Laptop Apple MacBook Air 13 M1 (MGN93ZE/A/D2) + 1 TB SSD,Dostepny,8199.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgn93ze-a-d2-1-tb-ssd-7701601/
Laptop Apple MacBook Air 13 M1 (MGN63ZE/A/D2) + 1 TB SSD,Dostepny,6826.7,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgn63ze-a-d2-1-tb-ssd-7701596/
Laptop Apple MacBook Air 13 M1 (MGND3ZE/A/D2) + 1 TB SSD,Dostepny,8199.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgnd3ze-a-d2-1-tb-ssd-7701606/
Laptop MSI GL75 9SC-007XPL 8 GB RAM/ 1 TB M.2 PCIe/,Dostepny,4469.0,https://www.morele.net/laptop-msi-gl75-9sc-007xpl-8-gb-ram-1-tb-m-2-pcie-6044308/
Laptop MSI GL75 9SC-007XPL 8 GB RAM/ 1 TB M.2 PCIe/ Windows 10 Pro,Dostepny,5169.0,https://www.morele.net/laptop-msi-gl75-9sc-007xpl-8-gb-ram-1-tb-m-2-pcie-windows-10-pro-6044314/
Laptop Apple MacBook Air 13 M1 (MGN63ZE/A/US),Dostepny,4979.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgn63ze-a-us-8267158/
Laptop Apple MacBook Air 13 M1 (MGNE3ZE/A),Dostepny,6099.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgne3ze-a-8870395/
Laptop Apple MacBook Air 13 M1/16GB/1TB/Mac OS Space Grey (MGN73ZE/A/R1/D1),Dostepny,9199.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-16gb-1tb-mac-os-space-grey-mgn73ze-a-r1-d1-7701612/
Laptop Apple MacBook Air 13 M1 (MGN63ZE/A/R1/D1) + 16 GB RAM + 512 GB SSD,Dostepny,8199.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgn63ze-a-r1-d1-16-gb-ram-512-gb-ssd-7701597/
Laptop Apple MacBook Air 13 M1 (MGN63ZE/A/R1) + 16 GB RAM,Dostepny,6999.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgn63ze-a-r1-16-gb-ram-7701594/
Laptop Apple MacBook Air 13 M1 (MGN93ZE/A/R1) + 16 GB RAM,Dostepny,6999.0,https://www.morele.net/laptop-apple-macbook-air-13-m1-mgn93ze-a-r1-16-gb-ram-7701599/
Laptop Apple MacBook Pro 13 M1 (MYD92ZE/A),Dostepny,7279.0,https://www.morele.net/laptop-apple-macbook-pro-13-m1-myd92ze-a-7411559/
Apple MacBook Air M1/8GB/256/Mac OS Space Gray,Czasowo niedostępny,5499.0,https://www.x-kom.pl/p/606019-notebook-laptop-133-apple-macbook-air-m1-8gb-256-mac-os-space-gray.html
Apple MacBook Air M1/8GB/256/Mac OS Silver,Dostępny,5499.0,https://www.x-kom.pl/p/606023-notebook-laptop-133-apple-macbook-air-m1-8gb-256-mac-os-silver.html
Apple MacBook Air M1/16GB/256/Mac OS Space Gray,Wydłużony czas dostawy,6499.0,https://www.x-kom.pl/p/606360-notebook-laptop-133-apple-macbook-air-m1-16gb-256-mac-os-space-gray.html
Apple MacBook Air M1/8GB/256/Mac OS Gold,Czasowo niedostępny,5499.0,https://www.x-kom.pl/p/606022-notebook-laptop-133-apple-macbook-air-m1-8gb-256-mac-os-gold.html
Apple MacBook Air M1/16GB/256/Mac OS Gold,Czasowo niedostępny,6499.0,https://www.x-kom.pl/p/606362-notebook-laptop-133-apple-macbook-air-m1-16gb-256-mac-os-gold.html
Apple MacBook Air M1/16GB/256/Mac OS Silver,Czasowo niedostępny,6499.0,https://www.x-kom.pl/p/606361-notebook-laptop-133-apple-macbook-air-m1-16gb-256-mac-os-silver.html
